User_ids,Nov-2018,Dec-2018,Jan-2019,Feb-2019,Mar-2019,Apr-2019,May-2019,Jun-2019,Jul-2019,Aug-2019
3883.0,1,,,,,,,,,
2675.0,2,4.0,,,,,,,,
3885.0,3,,,,,,,,,
3887.0,3,,,,,,,,,
3889.0,3,,,,,,,,,
3895.0,3,2.0,,,,,,,,
3893.0,2,5.0,1.0,1.0,4.0,,,,,
2112.0,3,3.0,5.0,,,,,,,
3892.0,3,7.0,1.0,,,,,,,
3896.0,3,1.0,,,,,,,,
3897.0,1,,,,,,,,,
3899.0,3,2.0,,,,,,,,
3901.0,1,4.0,2.0,1.0,1.0,,,,,
3898.0,3,2.0,2.0,,,,,,,
3902.0,2,2.0,,,,,,,,
3904.0,1,3.0,2.0,,1.0,,,,,
3906.0,3,2.0,,,,,,,,
3907.0,2,6.0,2.0,,,,,,,
3900.0,2,7.0,1.0,,,2.0,,,,
3912.0,3,5.0,,,,,,,,
3913.0,3,3.0,,,,,,,,
2259.0,3,2.0,,,,,,,,
3919.0,1,1.0,3.0,1.0,,,,,,
3918.0,3,2.0,,,,,,,,
3922.0,1,1.0,,,1.0,,,,,
3926.0,1,1.0,4.0,,4.0,,,,,
3925.0,1,,,,,,,,,
3551.0,2,3.0,4.0,1.0,,,,,,
2976.0,2,,,,,,,,,
3943.0,1,,1.0,,,,,,,
3947.0,2,,,,,,,,,
3948.0,3,,,,,,,,,
3953.0,1,,1.0,,,,,,,
3955.0,1,1.0,,,,,,,,
3956.0,3,,,,,,,,,
3924.0,2,1.0,2.0,,,,,,,
3961.0,1,,,1.0,,,,,,
3738.0,1,1.0,,,,,,,,
3962.0,3,,,,,,,,,
3964.0,1,,,,,,,,,
3965.0,2,,,,,,,,,
3966.0,1,,,,,,,,,
3921.0,3,9.0,5.0,1.0,,,,,,2.0
3967.0,1,,,,,,,,,
3969.0,1,,2.0,,,,,,,
3963.0,3,5.0,2.0,1.0,1.0,1.0,,,,
3910.0,3,3.0,5.0,,,,,,,
3970.0,2,,3.0,,,,,,,
3972.0,1,,,3.0,,,,,,
3973.0,2,,,,,,,,,
3974.0,2,,3.0,1.0,,,,,,
3978.0,2,4.0,2.0,2.0,3.0,2.0,,,,
3927.0,2,,,,,,,,,
3853.0,3,2.0,7.0,2.0,,,,,,
3979.0,1,,3.0,,2.0,,,,,
3874.0,3,,,,,,,,,
2060.0,4,3.0,3.0,,,,,,,
3981.0,2,,2.0,,,,,,,
3838.0,1,,,,,,,,,
2960.0,2,4.0,2.0,,2.0,1.0,,,,
3840.0,1,,,,,,,,,
3934.0,3,,6.0,1.0,,,,,,
3985.0,2,1.0,2.0,,,,,,,
3987.0,2,1.0,1.0,,,,,,,
3931.0,3,3.0,,,,,,,,
3989.0,2,5.0,,3.0,3.0,1.0,,,,
3990.0,1,2.0,1.0,,,,,,,
3991.0,2,2.0,,,,,,,,
3761.0,2,5.0,2.0,,,,,,,
3993.0,1,,1.0,,,,,,,
3994.0,2,,,,,,,,,
3995.0,2,2.0,1.0,,,,,,,
3996.0,2,1.0,,,,,,,,
3998.0,2,,,,,,,,,
3982.0,3,5.0,11.0,2.0,,,,,,
2866.0,1,1.0,3.0,,,,,,,
3999.0,2,,3.0,,,,,,,
4000.0,2,,,,,,,,,
4002.0,1,,,,,,,,1.0,1.0
4003.0,3,3.0,,,,1.0,,,,
4004.0,1,1.0,,,,,,,,
4008.0,2,1.0,,,,,,,,
4009.0,2,2.0,1.0,,,,,,,
3914.0,2,1.0,,,,,,,,
2998.0,3,4.0,2.0,1.0,,,,,,
4020.0,2,,,,,,,,,
3817.0,1,2.0,4.0,2.0,5.0,1.0,,,,
3063.0,1,,,,,,,,,
4023.0,1,7.0,,,1.0,,,,,
4026.0,2,1.0,,,,,,,,
2154.0,1,1.0,5.0,,1.0,,,,,
4038.0,1,,,,,,,,,
4033.0,1,,1.0,,,,,,,
4045.0,2,1.0,1.0,,,1.0,,,,
4017.0,3,,,,,,,,,
4051.0,1,,,,,,,,,
3945.0,2,3.0,7.0,1.0,,,,,,
4055.0,2,,1.0,,,,,,,
4058.0,1,1.0,2.0,,,,,,,
4060.0,1,2.0,3.0,1.0,3.0,1.0,,,,
4062.0,1,1.0,2.0,,,,,,,
4063.0,1,1.0,,,,,,,,
4064.0,1,1.0,,2.0,,,,,,
4065.0,1,,,,1.0,,,,,
4066.0,2,,,,,,,,,
4069.0,1,,,,,,,,,
3971.0,2,5.0,2.0,,,,,,,
3988.0,1,5.0,,1.0,3.0,1.0,,,,
3917.0,2,4.0,,,,,,,,
4054.0,2,5.0,2.0,,,,,,,
3936.0,2,10.0,,1.0,,,,,,
3929.0,2,5.0,,,,,,,,
4082.0,1,,,,,,,,,
2904.0,3,8.0,6.0,,1.0,1.0,,,,
2900.0,1,4.0,3.0,,,,,,,
4031.0,2,6.0,6.0,1.0,,,,,,
4087.0,3,5.0,12.0,1.0,,,,,,
4056.0,1,1.0,,,,,,,,
2908.0,2,4.0,13.0,,1.0,,,,,
4073.0,2,8.0,2.0,1.0,,,,,,
4075.0,1,6.0,2.0,,,,,,,
4092.0,1,,4.0,,,,,,,
4078.0,1,7.0,2.0,,,,,,,
4088.0,1,6.0,,,,,,,,
4094.0,2,1.0,,,,,,,,
4089.0,2,5.0,3.0,2.0,,,,,,
4077.0,2,6.0,10.0,1.0,,,,,,
4096.0,1,4.0,,,2.0,2.0,,,,
4099.0,2,,,,,,,,,
4095.0,1,,2.0,,,,,,,
4090.0,2,5.0,4.0,2.0,,,,,,
4102.0,2,,,,,,,,,
4093.0,2,5.0,4.0,,,,,,,
3958.0,3,6.0,2.0,,,,,,,
4111.0,1,,,,,,,,,
2508.0,1,,,,,,,,,
4079.0,2,6.0,9.0,,,,,,,
4104.0,1,1.0,,,,,,,,
4085.0,2,7.0,4.0,1.0,,,,,,
4123.0,1,,,,,,,,,
4107.0,2,5.0,2.0,,,,,,,
3942.0,2,6.0,,,,,,,,
4106.0,1,5.0,,2.0,,,,,,
4103.0,1,6.0,,,,,,,,
4112.0,2,7.0,11.0,1.0,,,,,,
4125.0,1,,,,,,,,,
4101.0,1,7.0,2.0,,,,,,,
4124.0,2,6.0,2.0,,,,,,,
4129.0,1,,,,,,,,,
2500.0,2,,,,,,,,,
4128.0,1,4.0,,,,,,,,
3908.0,2,6.0,1.0,1.0,,,,,,
4133.0,1,1.0,,,,,,,,
4134.0,1,,,,,,,,,
4136.0,1,1.0,,,,,,,,
4130.0,2,5.0,1.0,,,,,,,
4137.0,2,7.0,,1.0,,,,,,
4140.0,1,,,,,,,,,
4141.0,2,4.0,2.0,1.0,,,,,,
4149.0,1,,,,,,,,,
4150.0,2,1.0,1.0,,,,,,,
4146.0,3,2.0,,,,,,,,
4151.0,2,,3.0,,,,,,,
4148.0,2,6.0,2.0,1.0,,,,,,
3566.0,2,,,,,,,,,
